This file contains the cluster number at each minimum cluster size (MCS) computed using the dynamic tree cut algorithm. The rows are sorted according to the ReefID. A value of 0 indicates that the reef was not included in any cluster for a particular MCS value.
Reef ID,MCS=1,MCS=5,MCS=10,MCS=15,MCS=20,MCS=25,MCS=50,MCS=75,MCS=100,MCS=125,MCS=150,MCS=160
117,269,385,9,33,46,0,0,0,0,0,0,0
118,282,95,41,52,65,5,0,0,0,0,0,0
119,231,361,0,0,0,0,0,0,0,0,0,0
120,269,385,9,33,46,0,0,0,0,0,0,0
121,130,311,41,52,65,5,0,0,0,0,0,0
122,697,95,41,52,65,5,0,0,0,0,0,0
123,282,95,41,52,65,5,0,0,0,0,0,0
124,767,249,156,57,67,5,0,0,0,0,0,0
125,767,249,156,57,67,5,0,0,0,0,0,0
126,632,255,63,94,28,5,0,0,0,0,0,0
127,130,311,41,52,65,5,0,0,0,0,0,0
128,697,95,41,52,65,5,0,0,0,0,0,0
129,282,95,41,52,65,5,0,0,0,0,0,0
130,130,311,41,52,65,5,0,0,0,0,0,0
131,169,95,41,52,65,5,0,0,0,0,0,0
132,267,135,9,33,46,0,0,0,0,0,0,0
133,169,95,41,52,65,5,0,0,0,0,0,0
134,399,153,75,57,67,5,0,0,0,0,0,0
135,399,153,75,57,67,5,0,0,0,0,0,0
136,632,255,63,94,28,5,0,0,0,0,0,0
137,169,95,41,52,65,5,0,0,0,0,0,0
138,399,153,75,57,67,5,0,0,0,0,0,0
139,335,153,75,57,67,5,0,0,0,0,0,0
140,267,135,9,33,46,0,0,0,0,0,0,0
141,267,135,9,33,46,0,0,0,0,0,0,0
142,267,135,9,33,46,0,0,0,0,0,0,0
143,632,255,63,94,28,5,0,0,0,0,0,0
144,909,177,78,105,28,5,0,0,0,0,0,0
145,909,177,78,105,28,5,0,0,0,0,0,0
146,85,177,78,105,28,5,0,0,0,0,0,0
147,169,95,41,52,65,5,0,0,0,0,0,0
148,335,153,75,57,67,5,0,0,0,0,0,0
149,335,153,75,57,67,5,0,0,0,0,0,0
150,335,153,75,57,67,5,0,0,0,0,0,0
151,822,249,156,57,67,5,0,0,0,0,0,0
152,267,135,9,33,46,0,0,0,0,0,0,0
153,507,255,63,94,28,5,0,0,0,0,0,0
154,851,255,63,94,28,5,0,0,0,0,0,0
155,85,177,78,105,28,5,0,0,0,0,0,0
156,85,177,78,105,28,5,0,0,0,0,0,0
157,169,95,41,52,65,5,0,0,0,0,0,0
158,268,382,75,52,65,5,0,0,0,0,0,0
159,268,382,75,52,65,5,0,0,0,0,0,0
